session_id,title,detail_url,start,end,level,topic,track,code,speakers,conf_id,conference,description
1000,[🚨SOLD OUT] Mastering Data Engineering git and CI/CD in Microsoft Fabric,https://www.sharepointeurope.com/events/mastering-data-engineering-git-and-ci-cd-in-microsoft-fabric/,2025-09-15 09:00:00,2025-09-15 17:00:00,300 - Technical,OneLake,Data Engineering,A,"Daniel Coelho, Microsoft; Estera Kot, Clouds on Mars , United States",1000,FabCon2025EuropeVienna,"Modern data engineering demands more than just building pipelines—it requires robust version control, seamless collaboration, and reliable deployment across environments. Yet, many teams struggle to manage complex Microsoft Fabric solutions across development and production stages. This hands-on workshop solves that problem by guiding you through a complete, end-to-end implementation of a data engineering solution using Microsoft Fabric. You’ll learn how to integrate Lakehouse, Spark Notebooks, Warehouses, Data Pipelines, Semantic Models, and Power BI into a cohesive system—all under Git source control and deployed through CI/CD pipelines. By the end of the day, you’ll be able to: – Build a complete Data Engineering solution and have a solid understanding of Microsoft Fabric git and deployment pipelines solution paths – Configure Microsoft Fabric workspace for Git integration, make changes and update workspaces – Understand how variables, environments, and deployment rules work in practice – Implement CI/CD pipelines that promote changes from development to production Whether you’re a data engineer, architect, or DevOps practitioner, this workshop will equip you with the skills to confidently manage Fabric-based solutions at scale."
1001,[🚨SOLD OUT] Mastering Fabric Administration,https://www.sharepointeurope.com/events/mastering-fabric-administration/,2025-09-15 09:00:00,2025-09-15 17:00:00,300 - Technical,Admin & Governance,Admin & Governance,B,"Just Blindbæk MVP, twoday kapacity; Ásgeir Gunnarsson MVP, North Insights ApS.; Lars Andersen, Microsoft",1000,FabCon2025EuropeVienna,"Join us for a comprehensive workshop designed for Fabric administrators and those who want to understand the administrative capabilities within Microsoft Fabric. Whether you are stepping into the role of a Fabric administrator, aspire to do so, or simply want to collaborate more effectively with administrators, this session offers a deep dive into the tools, settings, and best practices that empower you to manage and secure your Fabric environment confidently. We will start at the tenant level, where you’ll explore fundamental administration concepts, including managing settings, access controls, and compliance configurations. Learn to delegate settings to specific capacities or domains and strengthen your network security with features like Private Link and Microsoft Entra ID Conditional Access. From there, we will dive into capacity administration, where you’ll master configurations for workloads, disaster recovery strategies, and notification settings. You will also gain insights into monitoring consumption and workloads effectively using the Capacity app. Next, we’ll move to workspace administration, focusing on understanding roles, retention policies, and configurations at the workspace level. With actionable insights from tools like the Monitoring Hub, you’ll learn how to monitor workspaces efficiently and ensure smooth operations. A core focus throughout the workshop will be monitoring and automation. We will explore automation opportunities using APIs to streamline administrative tasks at the tenant level and dive extensively into monitoring strategies. You’ll learn how to navigate built-in monitoring options and develop custom solutions to meet your organization’s specific needs. We will also cover gateway administration, a critical component of many Fabric solutions. Here, you’ll gain a deeper understanding of gateway architecture, management, and key considerations that every Fabric administrator should know. The workshop combines real-world scenarios, practical examples, and hands-on exercises to ensure you leave with actionable skills and a clear understanding of Microsoft Fabric administration. We’ll conclude the day with an interactive Q&A session, providing you with the opportunity to address any remaining questions and solidify your learning from the day. Whether you are a current Fabric administrator, aspire to become one, or simply want to better understand the possibilities and complexities of administering a Fabric tenant, this workshop will equip you with the tools and knowledge to excel in the role."
1002,[🚨SOLD OUT] A Practical Guide to Building and Deploying Fabric Data Agents for Deeper Insights,https://www.sharepointeurope.com/events/a-practical-guide-to-building-and-deploying-fabric-data-agents-for-deeper-insights/,2025-09-15 09:00:00,2025-09-15 17:00:00,300 - Technical,Data Science,Data Engineering,C,"Shreyas Canchi Radhakrishna, Microsoft; Markus Cozowicz, Microsoft",1000,FabCon2025EuropeVienna,"*This workshop is sold out* AI agents are becoming integral to business workflows, enabling users of all technical levels to explore and understand data more intuitively, and Microsoft Fabric’s Data Agents are at the forefront of this transformation. In this hands-on workshop, you’ll dive into how Microsoft Fabric empowers you to build, configure, and optimize your own Data Agent. You’ll learn best practices for curating high-quality data inputs, configuring agents for optimal performance, and leveraging rich features to turn raw data into actionable insights. We’ll also walk through how to integrate your Data Agent with AI Foundry and Copilot Studio, extending its reach across enterprise scenarios and agentic workflows. By the end of the session, you will have:"
1003,[🚨SOLD OUT] Mastering the Essentials of Data Factory,https://www.sharepointeurope.com/events/mastering-the-essentials-of-data-factory/,2025-09-15 09:00:00,2025-09-15 17:00:00,100 - Business Level,Data Integration,Data Integration,D,"Maraki Ketema, Microsoft; Eran Benayun, Microsoft; Wilson Lee, Microsoft",1000,FabCon2025EuropeVienna,"Are you looking at how you can get started with doing data integration with Fabric Data Factory? Join us for an immersive workshop designed to help you learn how you can master the essentials of Fabric Data Factory, and how you can move data between different data sources/destinations, transform the data to what you need, orchestrate these data activities, and operationalize it. In the workshop, you will learn about using the data movement capabilities in Fabric Data Factory (e.g. Copy Activity, Copy job) to ingest data into OneLake, and how you can transform the data using Dataflow Gen2. You will learn how you can build metadata driven pipelines and leverage Data Factory Copilot to work side-by-side with you as you build your data pipelines. Whether you’re new to Data Factory or looking to deepen your knowledge, this workshop will provide you with the tools and insights needed to maximize your productivity and efficiency. Don’t miss this opportunity to elevate your data skills and become a Data Factory expert in a day. Whether you are looking to understand what Data Factory can do, getting started with Data Factory, or an expert, , this workshop will help you learn Data Factory essentials."
1004,[🚨SOLD OUT] Build AI-Ready Apps with SQL Database in Microsoft Fabric (Hands-on),https://www.sharepointeurope.com/events/fabric-sql-databases-in-a-day-build-robust-apps-with-sql-databases-in-fabric-hands-on/,2025-09-15 09:00:00,2025-09-15 17:00:00,300 - Technical,SQL in Fabric,SQL in Fabric,E,"Idris Motiwala, Microsoft; Strahinja Rodic, Microsoft; Neel Ball, Microsoft",1000,FabCon2025EuropeVienna,"Join Microsoft’s product team for a hands-on workshop that empowers developers and data professionals to build modern, AI-ready applications using SQL Database in Microsoft Fabric. This SaaS-native database experience combines the familiarity of T-SQL with source control, seamless OneLake replication, and deep integration with tools like VS Code, SSMS, and Copilot. In this full-day session, you’ll build a real-world solution from the ground up — designing, deploying, and optimizing an AI-powered app using SQL Database in Fabric. You’ll leave with a working solution, architectural insights, and practical skills you can apply immediately in your organization or with customers."
1005,[🚨SOLD OUT] Masterclass in building event-driven architectures using Microsoft Fabric (Hands-on),https://www.sharepointeurope.com/events/masterclass-in-building-event-driven-architectures-using-microsoft-fabric-hands-on/,2025-09-15 09:00:00,2025-09-15 17:00:00,300 - Technical,Real-Time Intelligence,Real-Time Intelligence,F,"Devang Shah, Microsoft; Sander van de Velde MVP, SDG Group",1000,FabCon2025EuropeVienna,"As organizations evolve their data platforms to serve their businesses more effectively, there is an increasing demand for event driven patterns, handling and processing raw, highly granular data as well as real-time insights and actions vs stale reports. This hands-on workshop is for data professionals who are looking to answer the following questions: In this full day workshop, participants will get hands-on in building a real-world solution using Microsoft Fabric’s Real-Time Intelligence items including Real-Time hub, Eventstream, Eventhouse, Lakehouse, Real-Time Dashboard, Power BI, Activator, Digital Twin Builder, Data Agents and Operational Agents. Participants will: The case for this workshop is based on customer scenarios seen in production. Participants will leave with a working solution and an architectural understanding that they can replicate for their organizations or customers."
1006,[🚨SOLD OUT] Hands-On Approach to Building Scalable Data Warehouse Solutions with Microsoft Fabric,https://www.sharepointeurope.com/events/hands-on-approach-to-building-scalable-data-warehouse-solutions-with-microsoft-fabric/,2025-09-15 09:00:00,2025-09-15 17:00:00,300 - Technical,Data Warehousing,Data Engineering,G,"Srdjan Matin, Microsoft; Filip Popović, Microsoft; Artur Vieira, Microsoft",1000,FabCon2025EuropeVienna,"In the modern era where data drives decision-making, mastering management and analysis of vast datasets is pivotal for business success. This immersive, full-day workshop offers a deep dive into the powerful capabilities of the Fabric data warehouse, showcasing its comprehensive end-to-end data engineering features. Attendees will gain insights into enhanced developer experiences, efficient data ingestion, secure storage, seamless transformation, and advanced analysis, along with robust monitoring and management within the Microsoft Fabric ecosystem. Through real-world examples, participants will discover how organizations can harness the Fabric data warehouse to generate actionable insights and foster innovation. Tailored for DBAs, data engineers, analysts, and IT professionals, this session equips attendees with practical skills to elevate their data engineering proficiency using Microsoft Fabric. By the conclusion of the workshop, participants will have hands-on experience in constructing resilient, scalable, and efficient data solutions with the Fabric data warehouse."
1007,[🚨SOLD OUT] Getting Started with Microsoft Fabric,https://www.sharepointeurope.com/events/getting-started-with-microsoft-fabric/,2025-09-15 09:00:00,2025-09-15 17:00:00,100 - Business Level,Data Dev,Data Dev,H(a) - Half Day,"Stephanie Bruno MVP, Data Witches",1000,FabCon2025EuropeVienna,"This half-day workshop provides a hands-on introduction to Microsoft Fabric, equipping attendees with foundational knowledge of its core workloads, including Data Factory, Data Warehouse, Data Engineering, Data Science, Real-Time Intelligence, Power BI, and Partner & Industry Workloads. Participants will also explore key enabling technologies such as Copilot, OneLake, and Purview, ensuring they understand how Fabric’s unified analytics platform supports scalable, data-driven solutions. Guided by seasoned professionals, attendees will work through hands-on exercises designed to solidify their learning, ask questions in real time, and gain practical experience using Fabric’s powerful capabilities. Participants will leave not only with a strong grasp of Fabric’s essential features but also with the confidence to maximize their conference experience and apply their learning to real-world scenarios. NOTE: This tutorial is a half day tutorial. When booking your ticket, you can book:"
1008,[🚨SOLD OUT] Getting Started with Power BI: A Hands-On Workshop,https://www.sharepointeurope.com/events/getting-started-with-power-bi-a-hands-on-beginner-workshop/,2025-09-15 09:00:00,2025-09-15 17:00:00,100 - Business Level,Power BI,Power BI,H(b) -Half Day,Santhana Lakshmi Ponnurasan,1000,FabCon2025EuropeVienna,"Curious about Power BI but don’t know where to begin? This hands-on session is your perfect starting point! Whether you’re stepping into the world of data for the first time or finally opening that Power BI Desktop icon, this workshop will walk you through the essentials in a fun, beginner-friendly way. This workshop will also set you up for a successful conference! You’ll walk in with confidence and a foundational understanding of the tool(s), making it easier to choose sessions that are right for your learning goals and interests. Session Agenda: Walk away with: Pre-Requisites: To get the most out of this workshop, make sure you: NOTE: This tutorial is a half day tutorial. When booking your ticket, you can book:"
1009,[🚨SOLD OUT] What's New in Governing Your Data Estate with Microsoft Purview,https://www.sharepointeurope.com/events/whats-new-in-governing-your-data-estate-with-microsoft-purview/,2025-09-15 09:00:00,2025-09-15 17:00:00,300 - Technical,Microsoft Purview,Admin & Governance,I,"Darren Portillo, Microsoft; Sita Dontharaju, Microsoft; Liz Cox, Microsoft",1000,FabCon2025EuropeVienna,"Join the Microsoft Purview product team to understand how to seamlessly secure and confidently activating your multi-cloud and multi-platform data estate. The workshop will cover various aspects of data governance, data security, ensuring comprehensive coverage of Purview’s capabilities. Agenda Breakdown Deep dive into the Unified Catalog: Learn how to set up your own enterprise catalog and understand concepts such as data products, critical data elements, governance domains, custom attributes, copilot capabilities and newer innovations in the cataloging experience. Learn from practitioners of Purview DG how to curate your catalog and to foster a culture grounded on data quality. You will learn how to apply data quality rules and provide insight into the overall health of your data estate! Data Security with Microsoft Purview: Come prepared to learn about the extensibility of Microsoft Purview into the structured data world. Learn how to set sensitivity labels on lakehouses, apply Data Loss Prevention policies in Fabric on mirrored DBs and lakehouses, and apply Data Security Posture Management for AI. Come learn the additional value of having Purview for your Fabric estate and beyond in hands on demos! Connectors and Roadmap: Come understand the extensibility of Purview into Fabric and the vast array of additional supported data sources. Understand where Purview can provide value. Come prepared to get insights into the roadmap"
