session_id,speaker_name,speaker_affiliation
1000,Daniel Coelho,Microsoft
1000,Estera Kot,"Clouds on Mars , United States"
1001,Just Blindbæk MVP,twoday kapacity
1001,Ásgeir Gunnarsson MVP,North Insights ApS.
1001,Lars Andersen,Microsoft
1002,Shreyas Canchi Radhakrishna,Microsoft
1002,Markus Cozowicz,Microsoft
1003,Maraki Ketema,Microsoft
1003,Eran Benayun,Microsoft
1003,Wilson Lee,Microsoft
1004,Idris Motiwala,Microsoft
1004,Strahinja Rodic,Microsoft
1004,Neel Ball,Microsoft
1005,Devang Shah,Microsoft
1005,Sander van de Velde MVP,SDG Group
1006,Srdjan Matin,Microsoft
1006,Filip Popović,Microsoft
1006,Artur Vieira,Microsoft
1007,Stephanie Bruno MVP,Data Witches
1008,Santhana Lakshmi Ponnurasan,Santhana Lakshmi Ponnurasan
1009,Darren Portillo,Microsoft
1009,Sita Dontharaju,Microsoft
1009,Liz Cox,Microsoft
1010,Mohammad Ali,Microsoft
1010,Sid Vemuri,Microsoft
1011,Bob Ward,Microsoft
1011,Priya Sathy,Microsoft
1012,Wee Hyong Tok,Microsoft
1012,Faisal Mohamood,Microsoft
1013,Bogdan Crivat,Microsoft
1014,Roger Unholz,BSgroup Data Analytics
1014,Ivo Schindelholz,BSgroup Data Analytics AG
1015,Thibauld Croonenborghs,AE
1016,Abid Nazir Guroo,Microsoft
1016,Marco Casalaina,"VP, AI, Microsoft"
1017,Damon Buono,Microsoft
1017,Mahesh Uppala,Microsoft
1018,Henrik Siesenis,Obungi
1018,Niels Siepe,Obungi
1019,Jovan Popovic,Microsoft
1019,Salil Kanade,Microsoft
1020,Subramanian Muthukrishnan,iLink Digital
1021,Mohammad Ali,Microsoft
1021,Roseanne Levasseur,Microsoft
1022,Maria Mohr,Obungi
1022,Jannik Luxenburger,Obungi
1023,Idris Motiwala,Microsoft
1023,Strahinja Rodic,Microsoft
1024,Luis Bosquez,Microsoft
1024,Kyle White,Microsoft
1025,Brian Bønk MVP,Intellishore
1026,Yaron Prigal,Microsoft
1026,Aviv Ezrachi,Microsoft
1027,Wolfgang Strasser MVP,ACP CUBIDO
1027,Shafiq Mannan,Microsoft
1028,Soren Gemeinhardt,CluedIn
1028,Aleksander Kovacevic,CluedIn
1029,Theodorus Leonardus van Kraay,Microsoft
1030,Julie Koesmarno,"Microsoft, United States"
1030,Robert Bruckner,"Microsoft, United States"
1031,Traci Sewell,Sewells Consulting
1032,Jacinda Eng,Microsoft
1033,Josh Caplan,Microsoft
1033,Miquella de Boer,Microsoft
1034,Nellie Gustafsson,Microsoft
1034,Markus Weimer,Microsoft
1035,Mohan Sankaran,Microsoft
1035,Sid Jayadevan,Microsoft
1036,Christian Henrik Reich,twoday
1037,Peer Grønnerup,twoday
1038,Rick Xu,Microsoft
1038,Arthi Ramasubramanian Iyer,Microsoft
1039,Prasanna Pandian,UPM
1039,Genis Campa,NTT Data
1040,Ankur Gupta,Reltio
1040,Chris Lowe,Reltio
1040,Eric Melcher,Profisee
1040,Per Olav Marthinsen,Aker BP
1041,Gaston Cruz,Slalom USA
1041,Alex Rostan,Slalom
1042,Sean Lally,"The Lean Learning Professional, Ireland"
1043,Mike Carlo,"MVP, PowerBI.tips"
1043,Sujata Narayana,Microsoft
1044,Justyna Lucznik,Microsoft
1045,Yitzhak Kesselman,Microsoft
1045,Tessa Kloster,Microsoft
1046,Sara Vredevoogd,Microsoft
1046,Maya Shenhav,Microsoft
1047,Bob Ward,Microsoft
1047,Uros Milanovic,Microsoft
1048,Nadim Abou-Khalil,KI performace GMBH
1049,Barney Lawrence,Simpson Associates
1050,Yaron Canari,Microsoft
1050,Adi Regev,Microsoft
1051,Erlend Øien,Evidi
1052,Craig Gravina,Semarchy
1052,Sacha Dawes,Semarchy
1053,Isi Turner,Advancing Analytics
1054,Shannon Lindsay,Microsoft
1055,Amir Jafari,Microsoft
1055,Misha Desai,Microsoft
1056,Ilija Zagorac,Microsoft
1057,Robert Saxby,Databricks
1057,Jesse Sullivan,Microsoft
1058,Reitse Eskens,"MVP, Axians"
1058,Erin Stellato,Microsoft
1059,Tzvia Gitlin Troyna,Microsoft
1059,Meital Taran-Gutman,Meital Taran-Gutman
1060,Raja Ravipati,Microsoft
1061,Emil Vinčazović,arelium GmbH
1062,Christian Henrik Reich,twoday
1063,Ankur Gupta,Reltio
1063,Chris Lowe,Reltio
1064,Lada Hill,Microsoft
1064,Eun Hee Kim,Microsoft
1065,Trevor Olson,Microsoft
1065,Maraki Ketema,Microsoft
1066,Cristian Angyal MVP,SSBI Central
1067,Sascha Krause,Obungi
1067,Johann Hespen,Obungi
1068,Shabnam Watson MVP,ABI Cube
1069,Sanjay Soni,Microsoft
1069,Sowjanya Bobbadi,iLink Digital
1069,Subramanian Muthukrishnan,iLink Digital
1070,Sruly Taber,Microsoft
