session_id,label,score,rank,is_top_label
1031,Copilot & AI in Fabric,0.276,1,True
1042,Copilot & AI in Fabric,0.248,1,True
1053,Governance & OneLake,0.246,1,True
1074,Power BI,0.324,1,True
1085,Governance & OneLake,0.274,1,True
1097,Power BI,0.481,1,True
1107,Copilot & AI in Fabric,0.248,1,True
1125,Power BI,0.497,1,True
1136,Copilot & AI in Fabric,0.392,1,True
1000,Data Factory,0.526,1,True
1000,Data Warehouse,0.473,2,False
1000,Power BI,0.447,3,False
1001,Governance & OneLake,0.365,1,True
1002,Copilot & AI in Fabric,0.641,1,True
1002,Data Factory,0.432,2,False
1002,Data Warehouse,0.429,3,False
1003,Data Factory,0.734,1,True
1003,Data Warehouse,0.501,2,False
1003,Data Engineering,0.429,3,False
1004,Data Warehouse,0.511,1,True
1004,Copilot & AI in Fabric,0.507,2,False
1005,Real-Time Intelligence,0.568,1,True
1005,Copilot & AI in Fabric,0.459,2,False
1005,Data Warehouse,0.449,3,False
1005,Power BI,0.427,4,False
1006,Data Warehouse,0.694,1,True
1006,Data Factory,0.456,2,False
1007,Data Warehouse,0.564,1,True
1007,Copilot & AI in Fabric,0.511,2,False
1008,Power BI,0.603,1,True
1009,Governance & OneLake,0.508,1,True
1009,Data Warehouse,0.443,2,False
1009,Data Engineering,0.43,3,False
1010,Power BI,0.569,1,True
1010,Copilot & AI in Fabric,0.439,2,False
1012,Data Factory,0.547,1,True
1012,Data Warehouse,0.481,2,False
1013,Data Warehouse,0.665,1,True
1015,Data Engineering,0.38,1,True
1016,Copilot & AI in Fabric,0.38,1,True
1018,Data Factory,0.444,1,True
1019,Data Warehouse,0.689,1,True
1019,Data Factory,0.456,2,False
1019,Copilot & AI in Fabric,0.434,3,False
1020,Data Factory,0.353,1,True
1028,Copilot & AI in Fabric,0.417,1,True
1035,Data Factory,0.395,1,True
1036,Data Engineering,0.586,1,True
1036,Data Factory,0.425,2,False
1037,Copilot & AI in Fabric,0.342,1,True
1039,Copilot & AI in Fabric,0.72,1,True
1040,Data Warehouse,0.489,1,True
1040,Data Factory,0.448,2,False
1044,Data Engineering,0.538,1,True
1044,Data Factory,0.51,2,False
1044,Data Warehouse,0.509,3,False
1045,Real-Time Intelligence,0.557,1,True
1045,Copilot & AI in Fabric,0.509,2,False
1047,Data Warehouse,0.492,1,True
1047,Copilot & AI in Fabric,0.422,2,False
1051,Data Warehouse,0.555,1,True
1051,Power BI,0.527,2,False
1051,Data Factory,0.503,3,False
1051,Data Science,0.449,4,False
1051,Copilot & AI in Fabric,0.428,5,False
